,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Limuru,KE,-1.1,36.65,65.93,79,100,2.37,overcast clouds
80,Port Alfred,ZA,-33.5906,26.891,65.89,80,98,35.41,overcast clouds
81,Andra,RU,62.5147,65.8878,2.14,95,100,6.38,overcast clouds
82,Karaman,TR,37.0833,33.25,46.06,89,32,17.18,scattered clouds
83,Mao,ES,39.8885,4.2658,54.16,71,20,3.44,few clouds
84,Nouadhibou,MR,20.931,-17.0347,75.18,78,0,14.97,clear sky
85,Antofagasta,CL,-23.65,-70.4,67.28,64,64,8.3,broken clouds
86,Trat,TH,12.5,102.5,72.75,84,94,6.11,overcast clouds
87,Katsuura,JP,35.1333,140.3,51.91,63,7,16.67,clear sky
88,Aban,RU,56.67,96.06,4.82,91,46,7.52,scattered clouds
89,Kaitangata,NZ,-46.2817,169.8464,42.91,94,100,4.25,light rain
90,Hays,US,30.0502,-98.0336,52.14,33,100,10.33,overcast clouds
91,Tashara,RU,55.5195,83.5094,1.31,94,23,9.13,few clouds
92,Ballybofey,IE,54.8,-7.7833,38.95,76,76,21.39,moderate rain
93,Hithadhoo,MV,-0.6,73.0833,81.12,71,76,13.58,broken clouds
94,Hermanus,ZA,-34.4187,19.2345,66.42,84,100,19.35,light rain
95,Sibolga,ID,1.7427,98.7792,76.53,91,100,1.99,overcast clouds
96,Waverly,US,42.7392,-84.6208,28.67,50,89,14.43,overcast clouds
97,Clyde River,CA,70.4692,-68.5914,-1.7,98,100,1.1,overcast clouds
98,Nikolskoye,RU,59.7035,30.7861,31.89,86,100,5.46,overcast clouds
99,Xuddur,SO,4.1213,43.8894,76.8,69,98,13.71,light rain
100,Kloulklubed,PW,7.0419,134.2556,82.6,79,100,15.32,overcast clouds
101,Sena Madureira,BR,-9.0656,-68.6569,96.71,37,59,3.29,broken clouds
102,Kamen-Na-Obi,RU,53.7884,81.3423,8.13,93,77,10.07,broken clouds
103,Vestmannaeyjar,IS,63.4427,-20.2734,29.39,59,0,23.02,clear sky
104,Fortuna,US,40.5982,-124.1573,41.92,87,1,6.91,clear sky
105,Poum,NC,-20.2333,164.0167,78.33,76,3,10.54,clear sky
106,Baykit,RU,61.67,96.37,-1.26,98,99,4.41,overcast clouds
107,Vao,NC,-22.6667,167.4833,75.34,87,45,13.71,scattered clouds
108,Monrovia,LR,6.3005,-10.7969,82.83,71,82,8.79,broken clouds
